gene,cell_line,lineage,chronos_score,is_essential,data_source,license
BRAF,ACH-00141,PANC,-0.5545,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00142,OTHER,-0.424,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00143,SKIN,-0.3269,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00144,PANC,-0.7908,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00145,LUNG,-0.9228,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00146,BREAST,-0.5861,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00147,PANC,-0.7347,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00148,BREAST,-0.5382,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00149,CRC,-0.5799,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00150,HEMA,-0.6042,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00151,OTHER,-0.4972,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00152,CRC,-0.8983,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00153,PANC,-0.6825,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00154,CRC,-0.7495,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00155,BRAIN,-0.6625,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00156,LUNG,-0.7854,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00157,SKIN,-0.5776,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00158,BRAIN,-0.5905,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00159,HEMA,-0.2843,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00160,CRC,-0.7648,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00161,OTHER,-0.5866,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00162,LUNG,-1.0646,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00163,CRC,-0.8841,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00164,PANC,-0.7895,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00165,BREAST,-0.6529,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00166,HEMA,-0.3427,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00167,HEMA,-0.5747,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00168,LUNG,-0.5567,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00169,OTHER,-0.5407,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00170,LUNG,-0.7444,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00171,PANC,-0.7633,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00172,LUNG,-0.7494,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00173,OTHER,-0.2922,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00174,CRC,-1.0979,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00175,CRC,-1.0502,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00176,BREAST,-0.6315,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00177,OTHER,-0.5478,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00178,OTHER,-0.4465,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00179,BRAIN,-0.479,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00180,OTHER,-0.6076,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00181,OTHER,-0.3971,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00182,PANC,-0.5955,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00183,LUNG,-0.7224,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00184,HEMA,-0.4056,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00185,BRAIN,-0.5091,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00186,BREAST,-0.6342,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00187,CRC,-0.6453,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00188,BRAIN,-0.5334,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00189,LUNG,-0.7498,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00190,OTHER,-0.3291,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00191,LUNG,-1.1176,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00192,CRC,-0.9627,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00193,HEMA,-0.7281,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00194,CRC,-0.8045,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00195,CRC,-0.7882,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00196,SKIN,-0.7761,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00197,OTHER,-0.6978,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00198,LUNG,-0.8791,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00199,LUNG,-0.3814,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00200,HEMA,-0.2797,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00201,OTHER,-0.6118,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00202,PANC,-0.8045,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00203,CRC,-0.9224,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00204,CRC,-1.0362,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00205,LUNG,-0.7675,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00206,CRC,-0.8997,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00207,BRAIN,-0.5627,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00208,CRC,-0.99,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00209,PANC,-0.8643,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00210,BRAIN,-0.5277,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00211,SKIN,-0.4951,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00212,LUNG,-0.6874,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00213,HEMA,-0.7481,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00214,BRAIN,-0.4218,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00215,BRAIN,-0.67,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00216,CRC,-0.6551,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00217,CRC,-0.7516,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00218,OTHER,-0.7565,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00219,BREAST,-0.5974,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00220,LUNG,-0.6952,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00221,PANC,-0.6581,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00222,BRAIN,-0.5711,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00223,OTHER,-0.3202,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00224,LUNG,-0.5989,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00225,OTHER,-0.5885,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00226,CRC,-0.6375,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00227,PANC,-0.4599,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00228,SKIN,-0.2559,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00229,CRC,-0.9342,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00230,CRC,-0.889,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00231,BREAST,-0.3273,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00232,OTHER,-0.7087,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00233,SKIN,-0.7484,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00234,OTHER,-0.6229,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00235,HEMA,-0.487,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00236,PANC,-0.7654,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00237,HEMA,-0.6476,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00238,CRC,-0.8511,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00239,CRC,-0.8569,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00240,HEMA,-0.6819,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00241,HEMA,-0.2078,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00242,LUNG,-0.7054,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00243,PANC,-0.617,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00244,SKIN,-0.6234,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00245,OTHER,-0.5779,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00246,SKIN,-0.657,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00247,BREAST,-0.9478,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00248,BREAST,-0.7567,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00249,BREAST,-0.8216,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00250,SKIN,-0.8875,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00251,OTHER,-0.7293,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00252,BREAST,-0.3513,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00253,LUNG,-0.7567,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00254,LUNG,-0.5564,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00255,BRAIN,-0.4884,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00256,HEMA,-0.4326,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00257,CRC,-0.8851,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00258,CRC,-0.6714,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00259,SKIN,-0.4407,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00260,CRC,-0.8365,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00261,HEMA,-0.4661,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00262,LUNG,-0.6651,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00263,CRC,-0.8324,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00264,OTHER,-0.7184,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00265,CRC,-0.9276,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00266,LUNG,-0.737,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00267,CRC,-0.7009,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00268,CRC,-0.8689,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00269,CRC,-0.746,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00270,CRC,-0.6644,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00271,CRC,-0.6573,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00272,CRC,-0.5172,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00273,SKIN,-0.3585,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00274,BRAIN,-0.7002,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00275,BREAST,-0.2975,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00276,LUNG,-0.8296,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00277,PANC,-0.5933,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00278,OTHER,-0.5398,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00279,OTHER,-0.6118,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00280,CRC,-1.0212,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00281,LUNG,-0.7757,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00282,LUNG,-0.9839,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00283,LUNG,-0.6049,1,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00284,SKIN,-0.3225,0,DepMap_26Q1_simulation,CC_BY_4.0
BRAF,ACH-00285,BREAST,-0.6695,1,DepMap_26Q1_simulation,CC_BY_4.0
