gene,cell_line,lineage,demeter2_score,is_essential,data_source,license
BRAF,ACH-sh0043,CRC,-0.6703,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0044,SKIN,-0.245,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0045,CRC,-0.491,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0046,PANC,-0.7511,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0047,OTHER,-0.3189,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0048,LUNG,-0.8619,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0049,CRC,-0.491,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0050,BREAST,-0.4555,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0051,BREAST,-0.5679,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0052,SKIN,-0.3219,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0053,CRC,-0.4987,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0054,CRC,-0.5744,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0055,OTHER,-0.4122,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0056,BREAST,-0.397,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0057,SKIN,-0.4955,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0058,HEMA,-0.3766,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0059,HEMA,-0.6915,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0060,OTHER,-0.8892,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0061,BREAST,-0.3892,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0062,LUNG,-0.549,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0063,CRC,-0.6864,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0064,BREAST,-0.59,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0065,SKIN,-0.278,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0066,SKIN,-0.5165,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0067,OTHER,-0.5283,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0068,HEMA,-0.5757,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0069,PANC,-0.4961,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0070,CRC,-0.8873,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0071,PANC,-0.6245,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0072,OTHER,-0.5429,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0073,OTHER,-0.4687,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0074,BRAIN,-0.3631,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0075,SKIN,-0.5133,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0076,HEMA,-0.4859,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0077,BRAIN,-0.693,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0078,SKIN,-0.5213,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0079,BREAST,-0.5873,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0080,BREAST,-0.42,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0081,PANC,-0.6307,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0082,OTHER,-0.5073,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0083,SKIN,-0.4297,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0084,HEMA,-0.567,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0085,PANC,-0.7476,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0086,PANC,-0.9369,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0087,BRAIN,-0.46,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0088,BRAIN,-0.4511,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0089,LUNG,-0.6083,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0090,OTHER,-0.5268,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0091,LUNG,-0.4654,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0092,SKIN,-0.5484,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0093,BREAST,-0.2193,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0094,LUNG,-0.6388,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0095,OTHER,-0.5585,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0096,BRAIN,-0.503,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0097,LUNG,-0.6115,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0098,BRAIN,-0.4027,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0099,HEMA,-0.2083,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0100,BREAST,-0.4341,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0101,OTHER,-0.3595,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0102,OTHER,-0.3327,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0103,LUNG,-0.5451,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0104,BRAIN,-0.2027,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0105,LUNG,-0.6455,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0106,LUNG,-0.6833,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0107,HEMA,-0.6104,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0108,OTHER,-0.4876,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0109,PANC,-0.8754,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0110,LUNG,-0.5213,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0111,LUNG,-0.6929,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0112,BREAST,-0.3681,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0113,SKIN,-0.4057,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0114,OTHER,-0.6082,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0115,BRAIN,-0.1792,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0116,OTHER,-0.552,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0117,HEMA,-0.5624,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0118,BREAST,-0.5057,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0119,OTHER,-0.3903,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0120,SKIN,-0.5919,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0121,BREAST,-0.3475,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0122,BRAIN,-0.4341,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0123,HEMA,-0.4758,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0124,SKIN,-0.5881,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0125,PANC,-0.5888,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0126,OTHER,-0.4871,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0127,PANC,-0.8658,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0128,PANC,-0.5619,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0129,OTHER,-0.5741,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0130,OTHER,-0.4938,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0131,SKIN,-0.567,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0132,BREAST,-0.4986,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0133,CRC,-0.6627,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0134,CRC,-0.6525,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0135,LUNG,-0.6623,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0136,CRC,-0.6915,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0137,OTHER,-0.3224,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0138,LUNG,-0.546,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0139,CRC,-0.5347,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0140,PANC,-0.4337,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0141,SKIN,-0.5246,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0142,CRC,-0.5482,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0143,CRC,-0.6751,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0144,OTHER,-0.5652,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0145,SKIN,-0.2847,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0146,OTHER,-0.5667,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0147,LUNG,-0.2832,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0148,HEMA,-0.1459,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0149,CRC,-0.8859,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0150,SKIN,-0.3355,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0151,HEMA,-0.5643,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0152,CRC,-0.5306,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0153,CRC,-0.5797,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0154,SKIN,-0.7843,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0155,PANC,-0.5898,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0156,PANC,-0.4323,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0157,BRAIN,-0.4211,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0158,OTHER,-0.2077,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0159,SKIN,-0.5469,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0160,HEMA,-0.2053,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0161,OTHER,-0.4543,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0162,OTHER,-0.623,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0163,BREAST,-0.3803,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0164,LUNG,-0.3789,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0165,OTHER,-0.4269,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0166,BREAST,-0.4214,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0167,HEMA,-0.4365,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0168,LUNG,-0.8847,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0169,CRC,-0.336,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0170,BREAST,-0.2026,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0171,BREAST,-0.2552,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0172,CRC,-0.544,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0173,OTHER,-0.4367,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0174,BREAST,-0.491,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0175,CRC,-0.394,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0176,LUNG,-0.4925,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0177,CRC,-0.7505,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0178,SKIN,-0.5101,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0179,HEMA,-0.4037,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0180,BRAIN,-0.5213,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0181,BREAST,-0.3583,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0182,HEMA,-0.1873,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0183,BREAST,-0.1891,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0184,CRC,-0.5085,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0185,BREAST,-0.5653,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0186,CRC,-0.4716,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0187,CRC,-0.7583,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0188,CRC,-0.6627,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0189,LUNG,-0.6881,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0190,BREAST,-0.4788,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0191,SKIN,-0.4066,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0192,OTHER,-0.3083,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0193,SKIN,-0.4079,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0194,OTHER,-0.6626,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0195,OTHER,-0.3674,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0196,PANC,-0.4939,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0197,CRC,-0.4892,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0198,CRC,-0.6862,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0199,OTHER,-0.4706,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0200,SKIN,-0.5063,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0201,PANC,-0.485,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0202,BRAIN,-0.6919,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0203,CRC,-0.6604,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0204,OTHER,-0.2731,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0205,BRAIN,-0.5108,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0206,PANC,-0.4222,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0207,BRAIN,-0.3426,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0208,SKIN,-0.6961,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0209,BREAST,-0.563,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0210,PANC,-0.3482,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0211,CRC,-0.8232,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0212,SKIN,-0.5293,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0213,OTHER,-0.4364,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0214,BREAST,-0.4158,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0215,CRC,-0.3857,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0216,SKIN,-0.578,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0217,BREAST,-0.4335,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0218,CRC,-0.5006,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0219,PANC,-0.6411,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0220,CRC,-0.7182,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0221,HEMA,-0.5108,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0222,PANC,-0.759,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0223,HEMA,-0.4525,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0224,CRC,-0.4591,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0225,CRC,-0.6682,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0226,OTHER,-0.3634,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0227,BREAST,-0.7144,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0228,HEMA,-0.6943,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0229,CRC,-0.4385,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0230,LUNG,-0.6242,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0231,OTHER,-0.3955,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0232,CRC,-0.7955,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0233,PANC,-0.7262,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0234,LUNG,-0.4482,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0235,LUNG,-0.6077,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0236,CRC,-0.5185,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0237,BRAIN,-0.4486,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0238,CRC,-0.4492,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0239,BREAST,-0.5244,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0240,PANC,-0.9022,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0241,OTHER,-0.5772,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0242,OTHER,-0.3803,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0243,PANC,-0.5677,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0244,HEMA,-0.4869,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0245,BREAST,-0.2981,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0246,CRC,-0.6811,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0247,LUNG,-0.7544,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0248,CRC,-0.4882,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0249,BREAST,-0.5428,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0250,PANC,-0.5715,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0251,BREAST,-0.6419,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0252,PANC,-0.797,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0253,PANC,-0.6882,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0254,LUNG,-0.3126,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0255,OTHER,-0.3901,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0256,BREAST,-0.4881,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0257,LUNG,-0.6552,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0258,PANC,-0.5709,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0259,SKIN,-0.4333,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0260,SKIN,-0.3574,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0261,BRAIN,-0.185,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0262,BREAST,-0.4935,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0263,CRC,-0.2549,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0264,OTHER,-0.7017,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0265,SKIN,-0.4213,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0266,CRC,-0.6955,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0267,LUNG,-0.5319,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0268,BREAST,-0.6251,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0269,SKIN,-0.5584,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0270,OTHER,-0.4461,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0271,LUNG,-0.7793,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0272,BRAIN,-0.0408,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0273,OTHER,-0.2981,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0274,BREAST,-0.3423,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0275,BRAIN,-0.3987,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0276,CRC,-0.5339,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0277,BREAST,-0.4691,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0278,LUNG,-0.5673,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0279,BREAST,-0.481,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0280,LUNG,-0.7376,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0281,HEMA,-0.4746,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0282,SKIN,-0.2601,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0283,HEMA,-0.4071,1,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0284,BREAST,-0.2363,0,Project_Achilles_simulation,CC_BY_4.0
BRAF,ACH-sh0285,BREAST,-0.3172,0,Project_Achilles_simulation,CC_BY_4.0
